67,Bryan Adams,Everything I Do I Do It For You,1,['Bb' 'C' 'D' 'Dm' 'Eb' 'F' 'Fm' 'G']
68,Bryan Adams,Summer Of 69,0,['A' 'Asus' 'Asus4' 'Bb' 'Bm' 'C' 'D' 'Dsus' 'Dsus4' 'F' 'G']
69,The Animals,House Of The Rising Sun,0,['Am' 'C' 'D' 'Dm' 'E' 'E7' 'F' 'F7']
70,AC/DC,Back In Black,0,['A' 'A/C#' 'B' 'C' 'D' 'E' 'G']
71,Bryan Adams,Heaven,0,['Am' 'Bb' 'C' 'Dm' 'F' 'G' 'Gsus4']
72,Rufus Wainwright,Hallelujah,0,['Am' 'C' 'Em' 'F' 'G']
73,Boston,More Than A Feeling,0,"['A' 'A/C#' 'A2' 'Am' 'Asus4' 'B' 'Bm' 'C' 'Cadd9' 'D' 'D/F#' 'Dsus4' 'E'
 'Eb' 'Em' 'Em7' 'G']"
74,Creed,One Last Breath,0,['A' 'Bm' 'D' 'E' 'F#/Bb' 'G']
75,Edwin McCain,Ill Be,0,['Asus4' 'B' 'E' 'F#' 'F#m' 'G#m']
76,The Proclaimers,500 Miles,0,['A' 'B' 'E']
77,Semisonic,Closing Time,0,['Am' 'Bb' 'C' 'D' 'G']
78,Jeff Buckley,Hallelujah,6,['B7' 'C' 'D' 'Em' 'G']
79,Tenacious D,Fuck Her Gently,0,['A' 'Bb7' 'Bm' 'C' 'D' 'Em' 'F#m' 'G']
80,Oasis,Wonderwall,2,['A7sus4' 'C' 'D' 'Em' 'G']
81,Bob Marley,Redemption Song,0,['Am' 'C' 'D' 'Em' 'Em7' 'G']
82,Elton John,Your Song,1,['A' 'A/C#' 'Bm' 'Bm/Ab' 'D' 'Em' 'Em7' 'F#' 'F#m' 'G']
83,Kid Rock,Picture,0,['C' 'D' 'Em' 'G']
84,John Denver,Leaving On A Jet Plane,0,['Am' 'C' 'D' 'Em' 'G']
85,Avril Lavigne,Complicated,0,['Bb' 'C' 'Dm' 'F' 'Gm']
86,Lionel Richie,Hello,0,['A' 'Am' 'Bb' 'C' 'Dm' 'E' 'F' 'G']
87,Nickelback,How You Remind Me,0,"['Bb5' 'Bb6sus2' 'Bbsus2' 'Bbsus4/Eb' 'C5' 'Csus2' 'Eb' 'Eb5' 'Ebsus2'
 'F5' 'Fsus2']"
88,Goo Goo Dolls,Iris,0,['A' 'B' 'B2' 'C' 'D' 'E' 'G']
89,Neutral Milk Hotel,In The Aeroplane Over The Sea,0,['C' 'D' 'Em' 'G']
90,The Calling,Wherever You Will Go,2,['Am' 'C' 'Em' 'F' 'G']
91,R.E.M.,Everybody Hurts,0,['A' 'Am' 'Bm' 'C' 'D' 'Em' 'F#' 'G']
92,Mr. Big,To Be With You,0,['Asus2' 'B' 'C#m' 'Cadd9' 'D' 'E' 'E/F#' 'E/G#' 'Em' 'G']
93,Pearl Jam,Last Kiss,0,['C' 'D' 'Em' 'G']
94,Oasis,Stop Crying Your Heart Out,0,['Asus2' 'Asus4' 'Bm' 'Bmadd11' 'D' 'E' 'Em7' 'Esus' 'G']
