"U2","With Or Without You","D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,D,D,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G","0"
"Shania Twain","Youre Still The One","D,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A","1"
"Third Eye Blind","Jumper","Fmaj7,C,G,Am,D11,Fmaj7,C,G,Am,C,G,Am,D11,C,G","0"
"Train","Drops Of Jupiter","C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,C,G,Bb,F,G,D,F,C,G,D,F,C,G,D,Dm,F,C,G,F,C,G,F,C,G,Bb,F","0"
"Sixpence None the Richer","Kiss Me","D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,G,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,G,Asus4,A,D,Dmaj7,D7,Dmaj7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,G,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7","1"
"Adam Sandler","Grow Old With You","A,Bm,C#m,D,A,E,D,A,E,A,Bm,C#m,D,A,E,D,A,A7,D,A,D,E,E,D,A,Bm,C#m,D,A,E,D,A,E,D,A","0"
"The Rolling Stones","Wild Horses","Bm,G,Bm,G,Am,C,D,G,D,C,Bm,G,Bm,G,Am,C,D,G,D,Am,C,D,G,F,C,D,Am,C,D,G,F,C,Bm,G,Bm,G,Am,C,D,G,D,C,Bm,G,Bm,G,Am,C,D,G,D,Am,C,D,G,F,C,D,Am,C,D,G,F,C,Bm,G,Bm,G,Am,C,D,G,D,C,Bm,G,Bm,G,Am,C,D,G,D,Am,C,D,G,F,C,D,Am,C,D,G,F,C,Am,C,D,G,F,C,D,Am,C,D,G,F,C","0"
"The Rolling Stones","You Cant Always Get What You Want","G,Gadd9,C,A,D,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,D,C,D,C,G,Gadd9,G,C,G,Gadd9,G,G,Gadd9,G,D,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C","0"
"Radiohead","Fake Plastic Trees","A,A,F#m,D,A,D,A,F#m,D,A,D,Bm,A,Bm,A,A,F#m,D,A,D,A,F#m,D,A,D,Bm,A,Bm,A,A,F#m,D,A,D,A,F#m,D,A,D,Bm,A,Bm,A,Bm,A,Bm,A,A","0"
"Radiohead","Creep","G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G","0"
"Tom Petty","Free Fallin","A,D,D,A,E,A,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,Asus4,Asus4,A,E,A,Asus4,Asus4,A,E,A,Asus4,Asus4,A,E,A,Asus4,Asus4,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,D,A","0"
"Joan Osborne","One Of Us","Em,Cadd9,G,D,Em,Cadd9,G,D,Em,C,G,D,Em,Cadd9,G,D,Em,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,D,Em,Cadd9,G,D,Em,Cadd9,G,D,Em,Cadd9,G,D,Em,Cadd9,G,D,Cadd9","2"
"Oasis","Champagne Supernova","Asus2,Asus2/F#,A,G,D/F#,E,G,A,D,F,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,A,G,D/F#,E,A,G,D/F#,E,G,A,G,D,E,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,A,G,D/F#,E,A,G,D/F#,E,G,A,G,D,E,A,G,D/F#,F,G,A,G,D/F#,F,G,A,G,D/F#,F,G,F,G,F,G,Asus2,Asus2/F#,Asus2,Asus2/F#,E,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,F,G,Asus2","0"
"Oasis","Dont Look Back In Anger","C,F,C,F,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,F,F,Fm,C,F,Fm,C,F,Fm,C,G,E,Am,G,F,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,F,Fm,C,F,Fm,C,F,Fm,C,G,E,Am,G,F,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,F,Fm,C,G,E/G#,Am,G,F,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,E,F,G,C,Am,G,C,G,Am,F,Fm,C,G,Am,E,F,Fm,C","0"
"Oasis","Whatever","G,G,G,G,Dsus4/F#,E,Em7,Dsus4,Cadd9,A7sus4,A2,B5,F#,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,Em7,A7sus4,Cadd9,G,G,Dsus4/F#,Em7,A7sus4,Cadd9,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,Em7,A7sus4,Cadd9,G,G,Dsus4/F#,Em7,A7sus4,Cadd9,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,B5,G2,B5,G2,B5,G2,B5,F#,E,E,G2,A2,E,E,G2,A2,E,E,G2,A2,E,E,A,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,F#,Dsus4,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4","0"
"Oasis","Wonderwall","F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,D,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m,Esus4,A,Esus4,B,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,A,F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,F#m,A,Esus4,B,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m,Esus4,A,Esus4,B,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m,D,F#m,A,F#m","0"
"The Mamas & The Papas","California Dreamin","Am,E7sus4,Am,F,G,E7sus4,E7,F,C,E7,Am,F,E7sus4,E7,Am,F,G,E7sus4,E7,Am,F,G,E7sus4,E7,Am,F,G,E7sus4,E7,F,C,E7,Am,F,E7sus4,E7,Am,F,G,E7sus4,E7,Am,F,G,E7sus4,E7,Am,Am,F,E7,Am,F,E7sus4,E7,Am,F,G,E7sus4,E7,Am,F,G,E7sus4,E7,F,C,E7,Am,F,E7sus4,E7,Am,F,G,E7sus4,E7,Am,F,G,Am,F,G,Am,F,G,Fmaj7,Am","0"
"Metallica","Nothing Else Matters","Em7,D,Cadd9,Em7,D,Cadd9,Em7,D,Cadd9,G,B,Em7,Em7,D,Cadd9,Em7,D,Cadd9,Em7,D,Cadd9,G,B,Em7,Em7,D,Cadd9,Em7,D,Cadd9,Em7,D,Cadd9,G,B,Em7,C,A,D,C,A,D,C,A,D,Em7,D,Cadd9,Em7,D,Cadd9,Em7,D,Cadd9,G,B,Em7,C,A,D,C,A,D,C,A,D,Em7,D,Cadd9,Em7,D,Cadd9,Em7,D,Cadd9,G,B,Em7,Em7,D,Cadd9,Em7,D,Cadd9,Em7,D,Cadd9,G,B,Em7,C,A,D,C,A,D,C,A,D,C,A,D,C,A,D,Em7,Em7,D,Cadd9,Em7,D,Cadd9,Em7,D,Cadd9,G,B,Em7","0"
"John Lennon","Imagine","C,Cmaj7,F,Cadd9,Cadd9,Cmaj7,F,Cadd9,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C","0"
"John Lennon","Jealous Guy","G,Em,D,D7,Em,G,Em,D,D6,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,D,Em,Em7,C,G,G,Em,D,D6,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,D,Em,Em7,C,G,G,Em,C,D,D6,D7,Em,Em6,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,D,Em,Em7,C,G,G,Em,D,D6,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,D,Em,Em7,C,G,C,G,C,G","0"
"John Lennon","Working Class Hero","Am,Am,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,D,Am","0"
"Ronan Keating","When You Say Nothing At All","G,D,C,D,G,D,C,D,G,D,C,D,G,G,D,C,D,G,D,C,D,G,G,D,C,D,C,D,G,D,C,D,Dsus4,D,Dsus4,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,E,B,A,B,A,B,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G","0"
"Chris Isaak","Wicked Game","Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E","0"
"Natalie Imbruglia","Torn","F,Bb,F,Gm,F,Am,Bb,F,Am,Bb,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,F,Am,Bb,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,Dm,C,Bb,Dm,F,C,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,Dm,C,F,F,F,F,F,Am,Bb,F,Am,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb","0"
"Hootie & the Blowfish","Let Her Cry","G,D,C,G,G,D,C,G,G,D,C,G,G,D,C,G,C,G,C,Em,G,D,C,G,D,C,G,G,D,C,G,G,D,C,G,G,D,C,G,C,G,C,Em,G,D,C,G,D,C,G,G,D,C,G,G,D,C,G,C,G,C,Em,G,D,C,G,D,G,C,G,C,Em,G,D,C,G,D,C,G","0"
"Sheryl Crow","Sweet Child O Mine","D,C9,G,D,C9,G,D,C9,G,D,C9,G,D,D,C9,G,D,D,C9,G,D,C9,G,D,C9,G,D,C9,G,D,C9,G,D,Em,C,Bm7,Am,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em,G,A,C,D,Em","0"
"Green Day","Good Riddance Time Of Your Life","G,G,Cadd9,D,G,G,Cadd9,D,G,C,D,G,C,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,C,D,G,G,C,D,G,C,D,G,C,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,C,D,G,G,C,D,G,G,C,D,G,G,C,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,C,D,G,G,C,D,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,G","0"
"Green Day","Basket Case","G,D,Em,Bm,C,G,D,G,D,Em,Bm,C,G,D,C,D,G,C,D,G,C,D,G,F,E(m),C,D,G,D,C,D,G,D,C,D,G,D,Em,Bm,C,G,D,G,D,Em,Bm,C,G,D,C,D,G,C,D,G,C,D,G,F,Em,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,G,D,Em,Bm,C,G,D,G,D,Em,Bm,C,G,D,C,D,G,C,D,G,C,D,G,F,Em,C,D,Bm,C,Bm,C,C,G,D,C,G,D,C,G,D,C,G,D,C,G,D","0"
"Five for Fighting","Superman","C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,G,Am,G,F,Am,D,Am,D,F,G,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,G","0"
"Fleetwood Mac","Go Your Own Way","F,F,C,Bb,Bb,F,F,C,Bb,Bb,F,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,F,C,Bb,Bb,F,F,C,Bb,Bb,F,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,F,C,Bb,F,C,Bb,F,C,Bb,F,C,Bb,F,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C","0"
"Extreme","More Than Words","G,Cadd9,Am7,C,C,D,G,G,Cadd9,Am7,C,D,G,G,Cadd9,Am7,C,D,Em,Bm7,Am7,D,G,D/F#,Em,Bm7,Am7,D7,G7,G7,C,C,Cm,G,Em7,Am7,D7,G,G,D/F#,Em,Bm,C,C,Am7,D7,G,G,D/F#,Em7,Bm7,C,C,Am7,D7,G,G,Cadd9,Am7,C,C,D,G,G,Cadd9,Am7,C,D,G,G,Cadd9,Am7,C,D,Em,Bm7,Am7,D,G,D/F#,Em,Bm7,Am7,D7,G7,C,C,Cm,G,Em7,Am7,D7,G,G,D/F#,Em,Bm,C,C,Am7,D7,G,G,D/F#,Em7,Bm7,C,C,Am7,D7,G","0"
"Eagle-Eye Cherry","Save Tonight","F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G","1"
"Eagles","Peaceful Easy Feeling","D,G,D,G,D,G,A7,A7,D,G,D,G,D,G,A7,A7,G,G,D,D,G,G,Em,A7,D,Em,G,A7,D,D,G,D,G,D,G,A7,A7,D,G,D,G,D,G,A7,A7,G,G,D,D,G,G,Em,A7,D,Em,G,A7,D,D,G,D,G,D,G,A7,A7,D,G,D,G,D,G,A7,A7,G,G,D,D,G,G,Em,A7,D,Em,G,A7,D","2"
"Eagles","Lyin Eyes","G,Gmaj7,C,Am,D7,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,C,D,G,Gmaj,C,Am,D7,G,Gmaj7,C,Am,C,G,G,C,G,Em,Bm,Am,D,G,G7,C,A7,Am,D,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,C,D,G,Gmaj,C,Am,D7,G,Gmaj7,C,Am,C,G,G,C,G,Em,Bm,Am,D,G,G7,C,A7,Am,D7,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,G,Gmaj7,C,Am,D7,G,Gmaj7,C,Am,C,G,G,C,G,Em,Bm,Am,D,G,G7,C,A7,Am,D,G","0"
"Eagles","Take It Easy","G,G,D,C,G,D,C,G,Em,C,G,Am,C,Em,C,G,C,G,Am,C,G,G,D,C,G,D,C,G,Em,D,C,G,Am,C,Em,C,G,C,G,Am,C,G,G,D,C,G,D,C,G,Em,D,C,G,Am,C,Em,D,G,D,C,G,D,C,G,Em,C,G,Am,C,Em,C,G,C,G,Am,C,G,C,G,C,G,C,G,G7,C,G,G7,C,Em","0"
