136,Neil Young,Heart Of Gold,['Am' 'Bm' 'C' 'D' 'Em' 'Em7' 'G']
137,Neil Young,Old Man,['Am7' 'C' 'D' 'D/F#' 'D9' 'Dsus4' 'Em7' 'F' 'G']
138,James Taylor,Youve Got A Friend,"['A7' 'Am7' 'B7' 'Bm7' 'C' 'Cmaj7' 'D' 'D13' 'D7sus4' 'Em' 'Em7' 'F'
 'F#m7' 'F7' 'G' 'Gb' 'Gmaj7' 'Gsus4']"
139,U2,I Still Havent Found What Im Looking For,['C' 'Fsus2' 'G']
140,John Denver,Take Me Home Country Roads,['C' 'D' 'D7' 'D7/F#' 'Em' 'F' 'G']
141,Blind Melon,No Rain,['A' 'D' 'E' 'E5' 'E7' 'G']
142,Eraserheads,Magasin,['Am' 'C' 'E' 'E/Ab' 'F' 'Fm']
143,Eraserheads,Pare Ko,['Am' 'C' 'D' 'Dsus' 'Em' 'G']
144,Aerosmith,I Dont Want To Miss A Thing,['A' 'Bm' 'C' 'D' 'Dm' 'Em' 'F' 'G']
145,America,A Horse With No Name,['Dmaj9' 'Em' 'Em9']
146,Louis Armstrong,What A Wonderful World,"['A7' 'Am' 'Bb' 'Bbmaj7' 'C' 'C#' 'C7' 'C7b9' 'D7' 'D9' 'Dm' 'Eb9' 'F'
 'F#dim7' 'F6' 'Gm7']"
147,The Beatles,Let It Be,['Am' 'Am7' 'C' 'D' 'E' 'F' 'G']
148,The Band,The Weight,['A' 'A/G#' 'C#m' 'D' 'Dsus4' 'E' 'F#m7']
149,Garth Brooks,Friends In Low Places,['Am' 'Cm' 'D' 'D7' 'G' 'G#dim7']
150,Garth Brooks,If Tomorrow Never Comes,['Am7' 'Bm7' 'C' 'D' 'Em' 'Em7' 'G']
151,Johnny Cash,Ring Of Fire,['C' 'D' 'G']
152,Creedence Clearwater Revival,Proud Mary,['A' 'Bm' 'C' 'D' 'F' 'F6' 'G']
153,Leonard Cohen,Hallelujah,['B7' 'C' 'D' 'Em' 'G']
154,Neil Diamond,Sweet Caroline,['A' 'A6' 'Bm' 'C#' 'C#m' 'D' 'E' 'F#']
155,Bob Dylan,Knockin On Heavens Door,['Am' 'C' 'D' 'G']
156,Daniel Thomas,Amazing Grace,['A7' 'D' 'G']
157,Dixie Chicks,Landslide,['Am7' 'C' 'D7' 'Em' 'G']
158,Judy Garland,Over The Rainbow,"['B7' 'Bm7' 'C' 'C6' 'Cmaj7' 'Csus' 'Dm' 'Em' 'F' 'Fm' 'Fmaj7' 'Fmaj7(b5)'
 'G' 'G6' 'G7']"
159,George Harrison,Here Comes The Sun,['A7' 'A7sus' 'C' 'D' 'Dadd9' 'E7' 'F' 'G' 'G6' 'Gmaj7']
160,Michael Jackson,Beat It,['C' 'D' 'Em']
161,Michael Jackson,Heal The World,"['A' 'A#m' 'B' 'Bm7' 'C#' 'C#m' 'C#m7' 'D' 'D#m' 'D#m7' 'E' 'F#' 'F#m'
 'Fm' 'G' 'G#' 'G#m']"
162,Ben E. King,Stand By Me,['A' 'D' 'E' 'F#m']
163,Bob Marley,Is This Love,['A' 'Bm' 'C#' 'C#m' 'D' 'Dmaj7' 'E' 'F#m']
164,Ralph McTell,Streets Of London,['Am' 'C' 'D7' 'Em' 'F' 'G' 'G7']
165,Van Morrison,Brown Eyed Girl,['C' 'D' 'D7' 'Em' 'G']
166,Nirvana,About A Girl,['A' 'A5' 'C' 'C#' 'E' 'Em' 'F#' 'G' 'G#']
167,Nirvana,Come As You Are,['Am' 'C' 'D' 'Em']
168,Oasis,Stand By Me,['A' 'Am' 'B' 'C' 'D' 'Dsus4' 'Em' 'F' 'G' 'G/F#' 'G7']
169,Elvis Presley,Suspicious Minds,['B7' 'B7sus4' 'Bm' 'C' 'D' 'D7' 'Em' 'G']
170,Parokya ni Edgar,Harana,['A' 'Am' 'Bm' 'C' 'D' 'Dsus' 'E' 'Esus' 'G' 'G7']
171,Iggy Pop,The Passenger,['Am' 'C' 'E' 'F' 'G']
172,Queen,Dont Stop Me Now,['Am' 'Am7' 'Bb' 'C' 'C7' 'D7' 'Dm' 'Dm7' 'Eb' 'F' 'F7' 'Gm' 'Gm7']
173,The Righteous Brothers,Unchained Melody,['Am' 'C' 'C7' 'Eb' 'Em' 'F' 'Fm' 'G']
174,Rivermaya,Kisapmata,['A' 'D' 'Em' 'G']
175,Rivermaya,Hinahanap-Hanap Kita,['A' 'Am' 'Bb' 'D' 'Dsus4' 'Em' 'G']
